STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT11,WT11_ATTRIBUTES
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,06-04-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",69,",,0",48,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,07-04-2000,,,,,1.15,",,0,2400",0,"P,,0",0,"P,,0",70,",,0",34,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,08-04-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",,,,,,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,09-04-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",70,",,0",28,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,10-04-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",68,",,0",39,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,11-04-2000,,,,,0.01,",,0,2400",0,"P,,0",0,"P,,0",59,",,0",36,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,12-04-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",53,",,0",34,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,13-04-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",66,",,0",37,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,14-04-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",68,",,0",37,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,15-04-2000,,,,,,,0,"P,,0",0,"P,,0",,,,,,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,16-04-2000,,,,,0.06,",,0,2400",0,"P,,0",0,"P,,0",71,",,0",38,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,17-04-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",66,",,0",44,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,18-04-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",61,",,0",44,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,19-04-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",77,",,0",47,",,0",,,,,,,,,,,,,,
